Word		Original_root		Predicted_root
इसके		यह		यह
अतिरिक्त		अतिरिक्त		अतिरिक्त
गुग्गुल		गुग्गुल		गुग्गुल
कुंड		कुंड		कुंड
,		COMMA		UUUUUUUUUUUUUU
भीम		भीम		भीम
गुफा		गुफा		गुफा
तथा		तथा		तथा
भीमशिला		भीमशिला		भीमशिला
भी		भी		भी
दर्शनीय		दर्शनीय		दर्शनीय
स्थल		स्थल		स्थल
हैं		है		है
।		।		।
आधा		आधा		आधा
किमी		किमी		किमी
की		का		का
दूरी		दूरी		दूरी
पर		पर		पर
भैरवनाथ		भैरवनाथ		भैरवनाथ
मंदिर		मंदिर		मंदिर
है		है		है
,		COMMA		UUUUUUUUUUUUUU
जहाँ		जहाँ		जहाँ
केवल		केवल		केवल
केदारनाथ		केदारनाथ		केदारनाथ
के		का		का
पट		पट		पट
खुलने		खुल		खुल
और		और		और
बंद		बंद		बंद
होने		हो		हो
के		का		का
दिन		दिन		दिन
ही		ही		ही
पूजन		पूजन		पूजन
किया		कर		कर
जाता		जा		जा
है		है		है
।		।		।
भैरव		भैरव		भैरव
का		का		का
स्थान		स्थान		स्थान
उत्तराखंड		उत्तराखंड		उतततराखंड
में		में		में
क्षेत्रपाल		क्षेत्रपाल		क्कतत्रपाल
अथवा		अथवा		अथवा
भूमिदेव		भूमिदेव		भूमिदेव
के		के		का
रूप		रूप		रूप
में		में		में
महत्वपूर्ण		महत्वपूर्ण		मु््वपूर्ण
है		है		है
।		।		।
यह		यह		यह
सोनप्रयाग		सोनप्रयाग		सोपप्रयाग
से		से		से
5		5		ऐ
किमी		किमी		किमी
आगे		आगे		आगा
और		और		और
केदारनाथ		केदारनाथ		केदारनाथ
में		में		में
6		6		U
किमी		किमी		किमी
पहले		पहले		पहले
(		(		(
पैदल		पैदल		पैदल
)		)		)
पड़ने		पड़		पड़
वाला		वाला		वाला
एक		एक		एक
अत्यंत		अत्यन्त		अत््ंत
महत्वपूर्ण		महत्वपूर्ण		मु््वपूर्ण
तीर्थ		तीर्थ		तीर्थ
एवं		एवं		एवं
विश्राम		विश्राम		विश्राम
स्थल		स्थल		स्थल
है		है		है
।		।		।
इसकी		यह		यह
ऊँचाई		ऊँचाई		झंचाई
केवल		केवल		केवल
1982		1982		U
मीटर		मीटर		मीटर
है		है		है
।		।		।
इंदौर		इंदौर		इंदौर
में		में		में
जिस		जो		जि
प्रकार		प्रकार		प्रकार
से		से		से
शेरोंवाली		शेरोंवाली		शेोोंवााल
माँ		माँ		माँ
की		का		का
पूजा		पूजा		पूजा
आस्था		आस्था		आस्था
तथा		तथा		तथा
विश्वास		विश्वास		विश्वास
के		के		का
साथ		साथ		साथ
की		कर		का
जाती		जा		जा
है		है		है
उसी		वह		वह
विश्वास		विश्वास		विश्वास
के		के		का
साथ		साथ		साथ
कोलकाता		कोलकाता		कोलकात
में		में		में
काली		काली		काल
माँ		माँ		माँ
की		का		का
पूजा		पूजा		पूजा
की		कर		का
जाती		जा		जा
है		है		है
।		।		।
जिस		जो		जि
प्रकार		प्रकार		प्रकार
शेरोंवाली		शेरोंवाली		शेोोंवााल
माँ		माँ		माँ
के		का		का
मंदिर		मंदिर		मंदिर
में		में		में
जगराता		जगराता		जजराता
होता		हो		हो
है		है		है
,		COMMA		UUUUUUUUUUUUUU
उसी		वह		वह
प्रकार		प्रकार		प्रकार
काली		काली		काल
माँ		माँ		माँ
के		का		का
मंदिर		मंदिर		मंदिर
में		में		में
जगराता		जगराता		जजराता
होता		हो		हो
है		है		है
।		।		।
इसी		यह		यह
कारण		कारण		कारण
कोलकातावासी		कोलकातावासी		कलकाााावासी
माँ		माँ		माँ
काली		काली		काल
के		का		का
भक्त		भक्त		भक्त
हैं		है		है
तथा		तथा		तथा
उनके		वह		वह
शक्ति		शक्ति		शक्ति
रूप		रूप		रूप
को		को		को
मानते		मान		मान
हैं		है		है
।		।		।
काली		काली		काल
मंदिर		मंदिर		मंदिर
में		में		में
दर्शन		दर्शन		दर्शन
किए		कर		कर
बिना		बिना		बिना
कोलकाता		कोलकाता		कोलकात
की		का		का
सैर		सैर		सैर
अधूरी		अधूरा		अधूरी
मानी		मान		मानी
जाती		जा		जा
है		है		है
।		।		।
कोलकाता		कोलकाता		कोलकात
के		का		का
उत्तर		उत्तर		उत्तर
में		में		में
विवेकानंद		विवेकानंद		विििकाांद
पुल		पुल		पुल
के		के		का
पास		पास		पास
दक्षिणेश्वर		दक्षिणेश्वर		द््््मशश्वर
काली		काली		काल
मंदिर		मंदिर		मंदिर
स्थित		स्थित		स्थित
है		है		है
।		।		।
यह		यह		यह
मंदिर		मंदिर		मंदिर
बीबीडी		बीबीडी		बीबीडी
बाग		बाग		बाग
से		से		से
20		20		१०
किलोमीटर		किलोमीटर		किलोमीटर
दूर		दूर		दूर
है		है		है
।		।		।
दक्षिणेश्वर		दक्षिणेश्वर		द््््मशश्वर
मंदिर		मंदिर		मंदिर
का		का		का
निर्माण		निर्माण		निर्माण
सन		सन		सन
1847		1847		UUU
में		में		में
प्रारंभ		प्रारंभ		प्रारंभ
हुआ		हो		हो
था		था		था
।		।		।
जान		जान		जान
बाजार		बाजार		बाजार
की		का		का
महारानी		महारानी		महारान
रासमणि		रासमणि		रासमणि
ने		ने		ने
स्वप्न		स्वप्न		स्वप्न
देखा		देख		देखा
था		था		था
,		COMMA		UUUUUUUUUUUUUU
जिसके		जो		जो
अनुसार		अनुसार		अनुसार
माँ		माँ		माँ
काली		काली		काल
ने		ने		ने
उन्हें		वह		वह
निर्देश		निर्देश		निर्देश
दिया		दे		दे
कि		कि		कि
मंदिर		मंदिर		मंदिर
का		का		का
निर्माण		निर्माण		निर्माण
किया		कर		कर
जाए		जा		जा
।		।		।
इस		यह		यह
भव्य		भव्य		भव्य
मंदिर		मंदिर		मंदिर
में		में		में
माँ		माँ		माँ
की		का		का
मूर्ति		मूर्ति		मूर्ति
श्रद्धापूर्वक		श्रद्धापूर्वक		श््््धाूरर्वक
स्थापित		स्थापित		स्थापित
की		कर		का
गई		जा		जा
।		।		।
सन		सन		सन
1855		1855		१UU
में		में		में
मंदिर		मंदिर		मंदिर
का		का		का
निर्माण		निर्माण		निर्माण
पूरा		पूरा		पूरा
हुआ		हो		हो
।		।		।
यह		यह		यह
मंदिर		मंदिर		मंदिर
25		25		१०
एकड़		एकड		एकड
क्षेत्र		क्षेत्र		क्षेत्र
में		में		में
स्थित		स्थित		स्थित
है		है		है
।		।		।
अमेरिका		अमेरिका		अमेरिका
सद्दाम		सद्दाम		सद्दाम
हुसैन		हुसैन		हुसैन
की		का		का
न्यायिक		न्यायिक		न्यायिक
हिरासत		हिरासत		हिरासत
इराक		इराक		इराक
की		का		का
अंतरिम		अंतरिम		अंतरिम
सरकार		सरकार		सरकार
को		को		को
सौंपने		सौंप		सौंपन
पर		पर		पर
विचार		विचार		विचार
कर		कर		कर
रहा		रह		रह
है		है		है
लेकिन		लेकिन		लेकिन
वह		वह		वह
सद्दाम		सद्दाम		सद्दाम
को		को		को
अपनी		अपना		अपनी
सेना		सेना		सेना
के		का		का
कब्जे		कब्जा		कब्जा
में		में		में
ही		ही		ही
रखेगा		रख		रख
।		।		।
घाजी		घाजी		घाजी
तलाबानी		तलाबानी		तााबानी
नाम		नाम		नाम
के		का		का
अधिकारी		अधिकारी		अधिकारी
की		का		का
काम		काम		काम
करने		कर		कर
जाते		जा		जा
समय		समय		समय
हत्या		हत्या		हत्या
की		कर		का
गई		जा		जा
।		।		।
इराक		इराक		इराक
स्थित		स्थित		स्थित
अमेरिकी		अमेरिकी		अमेरिकी
प्रशासक		प्रशासक		प्रशासक
एल.		एल.		एल.
पॉल		पॉल		पॉल
ब्रेमर		ब्रेमर		ब्रेमर
ने		ने		ने
कहा		कह		कह
कि		कि		कि
अगर		अगर		अगर
इराक		इराक		इराक
के		का		का
नए		नया		न
प्रधानमंत्री		प्रधानमंत्री		प्राानमंत्री
सद्दाम		सद्दाम		सद्दाम
हुसैन		हुसैन		हुसैन
को		को		को
अपनी		अपना		अपनी
सरकार		सरकार		सरकार
की		का		का
हिरासत		हिरासत		हिरासत
में		में		में
देने		दे		दे
की		का		का
माँग		माँग		मांग
करते		कर		कर
हैं		है		है
तो		तो		तो
अमेरिका		अमेरिका		अमेरिका
उनकी		वह		वह
न्यायिक		न्यायिक		न्यायिक
हिरासत		हिरासत		हिरासत
सौंपने		सौंप		सौंपन
के		के		का
बारे		बारे		बारा
में		में		में
विचार		विचार		विचार
कर		कर		कर
सकता		सक		सक
है		है		है
।		।		।
पाकिस्तान		पाकिस्तान		पाकिस्तान
में		में		में
आयोजित		आयोजित		आयोजित
होने		हो		हो
वाले		वाला		वाला
दो		दो		दो
दिवसीय		दिवसीय		दिवसीय
सार्क		सार्क		सार्क
विदेश		विदेश		विदेश
मंत्रियों		मंत्री		मंत्री
के		का		का
सम्मेलन		सम्मेलन		सम्मेलन
में		में		में
हिस्सा		हिस्सा		हिस्सा
लेने		ले		ले
के		के		का
लिए		लिए		लिए
भारतीय		भारतीय		भारतीय
विदेश		विदेश		विदेश
मंत्री		मंत्री		मंत्री
के		के.		का
नटवर		नटवर		नटवर
सिंह		सिंह		सिंह
सोमवार		सोमवार		सोमवार
को		को		को
एक		एक		एक
विशेष		विशेष		विशेष
विमान		विमान		विमान
से		से		से
इस्लामाबाद		इस्लामाबाद		इस्ाामाबाद
के		के		का
लिए		लिए		लिए
रवाना		रवाना		रवान
होंगे		हो		हो
।		।		।
संभावना		संभावना		संभावना
जताई		जता		जताई
जा		जा		जा
रही		रह		रह
है		है		है
कि		कि		कि
वह		वह		वह
पाकिस्तान		पाकिस्तान		पाकिस्तान
में		में		में
पाँच		पाँच		पाँच
दिन		दिन		दिन
रहेंगे		रह		रह
और		और		और
इस		यह		यह
दौरान		दौरान		दौरान
वह		वह		वह
राष्ट्रपति		राष्ट्रपति		राष्ट्रपति
परवेज़		परवेज़		परवे
मुशर्रफ		मुशर्रफ		मुशर्रफ
से		से		से
दो		दो		दो
बार		बार		बार
मुलाक़ात		मुलाकात		मुलाकात
कर		कर		कर
सकते		सक		सक
हैं		है		है
।		।		।
पाकिस्तानी		पाकिस्तानी		पाकिस्तानी
अधिकारियों		अधिकारी		अधिकारी
के		के		का
मुताबिक		मुताबिक		मुताबिक
,		COMMA		UUUUUUUUUUUUUU
विदेश		विदेश		विदेश
मंत्रियों		मंत्री		मंत्री
के		का		का
सम्मेलन		सम्मेलन		सम्मेलन
का		का		का
उद्घाटन		उद्घाटन		उद्घाटन
पाकिस्तान		पाकिस्तान		पाकिस्तान
के		का		का
अंतरिम		अंतरिम		अंतरिम
प्रधानमंत्री		प्रधानमंत्री		प्राानमंत्री
शुजात		शुजात		शुजात
हुसैन		हुसैन		हुसैन
करेंगे		कर		कर
।		।		।
अमरनाथ		अमरनाथ		अमरनाथ
गुफा		गुफा		गुफा
में		में		में
प्राकृतिक		प्राकृतिक		प्राकृतिक
रूप		रूप		रूप
से		से		से
बने		बन		बन
हिमलिंग		हिमलिंग		हहमलिंग
को		को		को
छह		छह		छह
महीनों		महीना		महीन
तक		तक		तक
सहेजने		सहेज		सहेजन
के		के		का
लिए		लिए		लिए
योजना		योजना		योजना
तैयार		तैयार		तैयार
की		कर		का
जा		जा		जा
रही		रह		रह
है		है		है
।		।		।
श्री		श्री		श्री
अमरनाथ		अमरनाथ		अमरनाथ
श्राईन		श्राईन		श्राईन
बोर्ड		बोर्ड		बोर्ड
के		का		का
अध्यक्ष		अध्यक्ष		अध्यक्ष
और		और		और
जम्मू		जम्मू		जम्मू
-		-		-
कश्मीर		कश्मीर		कश्मीर
के		का		का
राज्यपाल		राज्यपाल		राज्यपाल
एस.		एस.		एस.
के.		के.		के.
सिन्हा		सिन्हा		सिन्हा
ने		ने		ने
शुक्रवार		शुक्रवार		शुक्रवार
को		को		को
पत्रकारों		पत्रकार		पत्रकार
को		को		को
बताया		बता		बता
कि		कि		कि
रक्षा		रक्षा		रक्षा
अनुसंधान		अनुसंधान		अनुसंधान
एवं		एवं		एवं
विकास		विकास		विकास
संगठन		संगठन		संगठन
(		(		(
डीआरडीओ		डीआरडीओ		डीआरडी
)		)		)
के		का		का
वैज्ञानिक		वैज्ञानिक		वैज््ानिक
गुफा		गुफा		गुफा
के		के		का
अंदर		अंदर		अंदर
बर्फ		बर्फ		बर्फ
से		से		से
बने		बन		बन
शिवलिंग		शिवलिंग		शिवलिंग
को		को		को
सुरक्षित		सुरक्षित		सुरक्षित
रखने		रख		रख
के		का		का
तरीके		तरीका		तरीका
खोज		खोज		खोज
रहे		रह		रह
हैं		है		है
और		और		और
इस		यह		यह
पर		पर		पर
लगभग		लगभग		लगभग
५०		५०		२०
लाख		लाख		लाख
रुपये		रुपया		रुपया
खर्च		खर्च		खर्च
होने		हो		हो
का		का		का
अनुमान		अनुमान		अनुमान
है		है		है
।		।		।
गुजरात		गुजरात		गुजरात
के		का		का
एक		एक		एक
भौतिकशास्त्री		भौतिकशास्त्री		उुकिााास्््री
को		को		को
अमेरिकी		अमेरिकी		अमेरिकी
अंतरिक्ष		अंतरिक्ष		अंतरिक्ष
एजेंसी		एजेंसी		एजेंसी
नासा		नासा		नासा
की		का		का
उस		वह		वह
शोध		शोध		शोध
टीम		टीम		टीम
में		में		में
शामिल		शामिल		शामिल
किया		कर		कर
गया		जा		जा
है		है		है
जो		जो		जो
विभिन्न		विभिन्न		विभिन्न
ग्रहों		ग्रह		ग्रह
पर		पर		पर
पानी		पानी		पानी
जैसे		जैसा		जैसा
तत्त्वों		तत्त्व		तत्त्व
पर		पर		पर
सूर्य		सूर्य		सूर्य
की		का		का
किरणों		किरण		किरण
के		का		का
प्रभाव		प्रभाव		प्रभाव
का		का		का
अध्ययन		अध्ययन		अध्ययन
करेगी		कर		कर
।		।		।
नासा		नासा		नासा
की		का		का
शोध		शोध		शोध
टीम		टीम		टीम
में		में		में
शामिल		शामिल		शामिल
होने		हो		हो
वाले		वाला		वाला
इस		यह		यह
गुजराती		गुजराती		गुजराती
वैज्ञानिक		वैज्ञानिक		वैज््ानिक
का		का		का
नाम		नाम		नाम
कमल		कमल		कमल
नयन		नयन		नयन
जोशीपुरा		जोशीपुरा		जोजीपुरा
है		है		है
।		।		।
जोशीपुरा		जोशीपुरा		जोजीपुरा
सरदार		सरदार		सरदार
पटेल		पटेल		पटेल
विश्वविद्यालय		विश्वविद्यालय		विववििदद्यालय
में		में		में
भौतिकी		भौतिकी		भौतिकी
के		का		का
प्रोफेसर		प्रोफेसर		प्रोफेसर
हैं		है		है
।		।		।
अटल		अटल		अटल
बिहारी		बिहारी		बिहारी
वाजपेयी		वाजपेयी		वाजपेयी
के		का		का
तेवर		तेवर		तेवर
देख		देख		देख
कर		कर		कर
केवल		केवल		केवल
भाजपा		भाजपा		भाजपा
ही		ही		ही
नहीं		नहीं		नहीं
NULL		null		UUUU
बल्कि		बल्कि		बल्कि
पूरा		पूरा		पूरा
संघ		संघ		संघ
परिवार		परिवार		परिवार
सकते		सकते		सक
में		में		में
है		है		है
।		।		।
वाजपेयी		वाजपेयी		वाजपेयी
ने		ने		ने
मनाली		मनाली		मनाली
में		में		में
पलटवार		पलटवार		पलटवार
करते		कर		कर
हुए		हो		हो
कहा		कह		कह
है		है		है
कि		कि		कि
गुजरात		गुजरात		गुजरात
की		का		का
चर्चा		चर्चा		चर्चा
राष्ट्रीय		राष्ट्रीय		राष्ट्रीय
कार्यकारिणी		कार्यकारिणी		कार््कारिणी
में		में		में
अवश्य		अवश्य		अवश्य
होगी		हो		हो
।		।		।
वाजपेयी		वाजपेयी		वाजपेयी
के		का		का
बयान		बयान		बयान
के		के		का
बाद		बाद		बाद
पार्टी		पार्टी		पार्टी
मुख्यालय		मुख्यालय		मुख्यालय
से		से		से
भाजपा		भाजपा		भाजपा
के		का		का
सभी		सभी		सभी
नेता		नेता		नेता
भूमिगत		भूमिगत		भूमिगत
हो		हो		हो
गए		जा		जा
।		।		।
दूसरी		दूसरा		दूसरी
ओर		ओर		ओर
संघ		संघ		संघ
ने		ने		ने
दिल्ली		दिल्ली		दिल्ली
में		में		में
मौजूद		मौजूद		मौजूद
सभी		सभी		सभी
पदाधिकारियों		पदाधिकारी		पेाािकारी
की		का		का
आपात		आपात		आपात
बैठक		बैठक		बैठक
बुलाई		बुला		बुलाई
और		और		और
वाजपेयी		वाजपेयी		वाजपेयी
के		का		का
बयान		बयान		बयान
के		के		का
बाद		बाद		बाद
स्थिति		स्थिति		स्थिति
की		का		का
समीक्षा		समीक्षा		समीक्षा
की		कर		का
।		।		।
इसमें		यह		यह
भाजपा		भाजपा		भाजपा
की		का		का
ओर		ओर		ओर
से		से		से
विजय		विजय		विजय
कुमार		कुमार		कुमार
